"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.062918515,               -32,               -32,      0.3989549007
          0,           0,           1,      -5.387588566,      -2.754008513,      -4.336228304,     0.07657571575
          0,           0,           2,      -5.500042391,       -2.97446357,      -4.621531578,     -0.0345048225
          0,           0,           3,       -5.57950325,      -3.181579563,      -4.627910171,     -0.1166871896
          0,           0,           4,      -5.735039823,      -3.222454727,      -4.590471569,      -0.273634355
          0,           0,           5,      -5.812314343,       -3.27699201,      -4.644464442,     -0.3506954448
          0,           0,           6,      -5.846138221,       -3.31387647,       -4.71587709,     -0.3842133702
          0,           0,           7,      -5.872869113,      -3.333977663,      -4.768917886,     -0.4109130093
          0,           0,           8,      -5.899732843,      -3.344910447,      -4.811659982,      -0.437854127
          0,           0,           9,      -5.935834951,      -3.343720039,      -4.856193694,     -0.4740388605
          0,           0,          10,      -5.992039423,      -3.329851704,      -4.904010832,      -0.530352854
          0,           0,          11,      -6.083655689,      -3.308230304,      -4.944615952,     -0.6221405266
          0,           0,          12,      -6.235889156,      -3.287887934,      -4.954007554,     -0.7745919323
          0,           0,          13,      -6.497466815,      -3.277357014,      -4.922417725,      -1.035947628
          0,           0,          14,      -6.704665805,      -3.281726536,      -4.873742865,      -1.238895143
          0,           0,          15,      -6.411316244,      -3.301960159,      -4.835894412,     -0.9476315711
          0,           0,          16,      -6.216812226,      -3.335296406,      -4.820409598,      -0.754127872
          0,           0,          17,      -6.108516625,      -3.376329114,        -4.8253383,     -0.6461913391
          0,           0,          18,      -6.046813949,      -3.418818162,      -4.844117108,     -0.5846330003
          0,           0,          19,      -6.010873182,        -3.4587414,      -4.870103603,     -0.5487528127
          0,           0,          20,      -5.987604795,       -3.49685914,      -4.898546893,     -0.5255227387
          0,           0,          21,      -5.968646629,      -3.538490002,      -4.927388244,     -0.5066129774
          0,           0,          22,      -5.949952975,       -3.59142992,      -4.957114046,     -0.4879844326
          0,           0,          23,      -5.931220164,       -3.66495283,      -4.990237463,     -0.4693174665
          0,           0,          24,      -5.914408389,      -3.771504628,      -5.030867547,     -0.4525484056
          0,           0,          25,      -5.902095707,      -3.932348356,      -5.084188426,     -0.4402407031
          0,           0,          26,      -5.896429678,      -4.183596671,      -5.155403687,     -0.4345444547
          0,           0,          27,      -5.898742869,      -4.334379649,      -5.247011453,     -0.4368094812
          0,           0,          28,      -5.909549695,       -4.06533191,        -5.3497715,      -0.447574421
          0,           0,          29,      -5.928700891,      -3.861806013,      -5.423567191,     -0.4667125046
          0,           0,          30,      -5.955617784,      -3.730454457,      -5.419975814,     -0.4936588766
          0,           0,          31,      -5.989613099,      -3.640600036,      -5.366707264,     -0.5277282229
          0,           0,          32,      -6.030313343,      -3.576369895,      -5.317100083,     -0.5685391881
          0,           0,          33,      -6.078153896,      -3.528852838,      -5.291386319,     -0.6165164094
          0,           0,          34,      -6.134884475,      -3.492662094,      -5.291226229,     -0.6734044648
          0,           0,          35,      -6.204095682,      -3.464581915,      -5.311649787,     -0.7427997903
          0,           0,          36,      -6.292041237,      -3.442911363,      -5.342635696,     -0.8309726891
          0,           0,          37,      -6.409549041,      -3.426999849,      -5.368397406,     -0.9487686016
          0,           0,          38,      -6.576699463,      -3.416842064,      -5.373398205,      -1.116202699
          0,           0,          39,      -6.822933576,      -3.412743669,       -5.35545245,      -1.361476023
          0,           0,          40,      -6.940648756,      -3.415091951,      -5.326884675,      -1.472506808
          0,           0,          41,      -6.684594299,      -3.424225464,      -5.301480379,      -1.218846401
          0,           0,          42,      -6.483376442,      -3.440361749,      -5.288461204,       -1.01940782
          0,           0,          43,      -6.347453211,      -3.463710846,      -5.289760338,     -0.8843157322
          0,           0,          44,      -6.250318203,      -3.494601905,      -5.302604267,     -0.7876513225
          0,           0,          45,      -6.178032017,      -3.533653711,      -5.321541543,     -0.7156682215
          0,           0,          46,      -6.122975116,      -3.582014331,      -5.339918773,     -0.6608199177
          0,           0,          47,      -6.080634724,      -3.641716202,      -5.352476007,     -0.6186246904
          0,           0,          48,      -6.048216359,      -3.716277997,      -5.358172192,     -0.5863019306
          0,           0,          49,        -6.0239841,      -3.811922342,      -5.360404766,     -0.5621226236
          0,           0,          50,       -6.00689961,       -3.94055242,       -5.36427596,     -0.5450537773
          0,           0,          51,      -5.996393497,      -4.128707917,      -5.373761155,     -0.5345328153
          0,           0,          52,      -5.992206796,       -4.44850536,      -5.390387973,     -0.5303103362
          0,           0,          53,      -5.994282006,      -4.633457641,      -5.412853269,     -0.5323410008
          0,           0,          54,      -6.002697617,      -4.241072975,       -5.43685639,     -0.5407169775
          0,           0,          55,      -6.017643574,      -4.017282098,      -5.455422462,     -0.5556419478
          0,           0,          56,      -6.039435778,      -3.874217314,       -5.46099257,     -0.5774442899
          0,           0,          57,      -6.068569599,       -3.77292774,      -5.449436825,      -0.606629805
          0,           0,          58,        -6.1058178,      -3.697414103,      -5.422567986,     -0.6439796443
          0,           0,          59,      -6.152390206,      -3.639683153,      -5.386169692,     -0.6907110249
          0,           0,          60,      -6.210198507,      -3.595197483,      -5.346258112,      -0.748744472
          0,           0,          61,      -6.282329339,      -3.561170512,      -5.307176419,     -0.8211816325
          0,           0,          62,      -6.373977832,      -3.535817061,      -5.271578044,     -0.9132482663
          0,           0,          63,      -6.494492033,      -3.517980978,      -5.240991357,      -1.034358821
          0,           0,          64,      -6.662106465,      -3.506930966,       -5.21629122,       -1.20287943
          0,           0,          65,      -6.907813225,      -3.502240212,      -5.197861345,        -1.4495326
          0,           0,          66,      -7.072861205,      -3.503713728,      -5.185853989,      -1.608150455
          0,           0,          67,      -6.823364611,      -3.511334462,       -5.18065706,      -1.357657381
          0,           0,          68,      -6.612082987,      -3.525238013,      -5.182866857,      -1.147949526
          0,           0,          69,      -6.468792298,      -3.545751334,      -5.192356588,      -1.005545087
          0,           0,          70,      -6.365397836,      -3.573438124,      -5.208625618,     -0.9026847414
          0,           0,          71,      -6.287386616,      -3.609179643,      -5.231124154,     -0.8250222898
          0,           0,          72,      -6.227118382,      -3.654318834,      -5.259365221,     -0.7649886563
          0,           0,          73,       -6.18020988,      -3.710920789,       -5.29305326,     -0.7182348805
          0,           0,          74,      -6.143973903,      -3.782273185,      -5.332134593,     -0.6820930167
          0,           0,          75,       -6.11669032,      -3.873948709,      -5.376778321,      -0.654855966
          0,           0,          76,      -6.097234291,      -3.996393678,      -5.427319004,     -0.6354095739
          0,           0,          77,      -6.084873079,      -4.172635667,      -5.484123553,     -0.6230311891
          0,           0,          78,      -6.079149392,      -4.468998024,      -5.547280391,     -0.6172736879
          0,           0,          79,      -6.079814273,      -4.873115078,      -5.615888537,     -0.6178984804
          0,           0,          80,       -6.08679204,      -4.405422603,      -5.686597797,     -0.6248402501
          0,           0,          81,        -6.1001694,      -4.147745183,      -5.751278635,     -0.6381957545
          0,           0,          82,      -6.120206568,      -3.991032279,      -5.795972422,     -0.6582346533
          0,           0,          83,      -6.147372858,      -3.882152176,      -5.807411105,     -0.6854349918
          0,           0,          84,       -6.18241514,      -3.801544446,      -5.785566277,     -0.7205518464
          0,           0,          85,      -6.226478015,      -3.739999328,      -5.743386805,      -0.764738216
          0,           0,          86,      -6.281315347,      -3.692483022,       -5.69422057,     -0.8197581572
          0,           0,          87,      -6.349677855,      -3.655972427,      -5.645670213,     -0.8883777374
          0,           0,          88,      -6.436075201,      -3.628541969,      -5.600823355,     -0.9751343146
          0,           0,          89,      -6.548402773,      -3.608926845,      -5.560569683,       -1.08797956
          0,           0,          90,      -6.701629938,      -3.596295745,      -5.524837421,      -1.241999293
          0,           0,          91,      -6.923167798,      -3.590125695,      -5.493182958,      -1.464640037
